uber3-zero.tns,4,403.45
uber3-zero.tns,8,433.9
uber3-zero.tns,16,498.9
uber3-zero.tns,32,642.95
uber3-zero.tns,64,927.3
uber3-zero.tns,128,1585.15
uber3-zero.tns,256,2764.8
uber3-zero.tns,512,5184.8
uber3-zero.tns,1024,9973.6
uber3-zero.tns,2048,19599
uber3-zero.tns,4,401.05
uber3-zero.tns,4,402.95
uber3-zero.tns,8,436.6
facebook-zero.tns,4,3064.9
facebook-zero.tns,8,3231.25
facebook-zero.tns,16,3733.5
facebook-zero.tns,32,4902.9
facebook-zero.tns,64,6760.5
facebook-zero.tns,128,10275.8
facebook-zero.tns,256,16435.4
facebook-zero.tns,512,29405.3
